Total Points,Name,Position,Club
66.375,Shkodran Mustafi,DF,Arsenal
68.375,Héctor Bellerín,DF,Arsenal
74.75,Sead Kolasinac,DF,Arsenal
32.25,Ainsley Maitland-Niles,DF,Arsenal
60.5,Sokratis Papastathopoulos,DF,Arsenal
1.75,Konstantinos Mavropanos,DF,Arsenal
21.375,Rob Holding,DF,Arsenal
175.5,Pierre-Emerick Aubameyang,FW,Arsenal
135.0,Alexandre Lacazette,FW,Arsenal
15.75,Edward Nketiah,FW,Arsenal
110.0,Bernd Leno,GK,Arsenal
83.625,Mesut Özil,MF,Arsenal
83.25,Granit Xhaka,MF,Arsenal
62.0,Lucas Torreira,MF,Arsenal
8.5,Mohamed Elneny,MF,Arsenal
47.5,Matteo Guendouzi,MF,Arsenal
108.5,David Luiz Moreira Marinho,DF,Arsenal
16.5,Emiliano Martínez,GK,Arsenal
49.25,Calum Chambers,DF,Arsenal
57.0,Daniel Ceballos Fernández,MF,Arsenal
66.875,Cédric Soares,DF,Arsenal
106.0,Nicolas Pépé,FW,Arsenal
16.25,Reiss Nelson,FW,Arsenal
22.25,Joseph Willock,MF,Arsenal
39.0,Gabriel Teodoro Martinelli Silva,FW,Arsenal
42.0,Kieran Tierney,DF,Arsenal
36.0,Bukayo Saka,FW,Arsenal
4.0,Emile Smith Rowe,MF,Arsenal
0.0,Tyreece John-Jules,DF,Arsenal
8.0,Pablo Marí,DF,Arsenal
0.0,Matt Macey,GK,Arsenal
0.0,Matthew Smith,MF,Arsenal
39.0,Ahmed El Mohamady,FW,Aston Villa
0.0,James Chester,MF,Aston Villa
22.0,Neil Taylor,DF,Aston Villa
17.0,Kortney Hause,DF,Aston Villa
5.0,Jonathan Kodjia,MF,Aston Villa
15.0,Ørjan Nyland,GK,Aston Villa
83.0,Conor Hourihane,MF,Aston Villa
149.0,Jack Grealish,FW,Aston Villa
93.0,Anwar El Ghazi,FW,Aston Villa
84.0,John McGinn,MF,Aston Villa
0.0,Andre Green,DF,Aston Villa
25.0,Keinan Davis,FW,Aston Villa
12.0,Henri Lansbury,MF,Aston Villa
17.0,José Ignacio Peleteiro Romallo,FW,Aston Villa
63.625,Tom Heaton,GK,Aston Villa
14.625,Daniel Drinkwater,MF,Aston Villa
50.75,Matt Targett,DF,Aston Villa
67.0,Wesley Moraes,MF,Aston Villa
1.0,Jed Steer,GK,Aston Villa
47.125,Tyrone Mings,DF,Aston Villa
65.0,Ezri Konsa Ngoyo,DF,Aston Villa
42.0,Bjorn Engels,DF,Aston Villa
62.0,Frédéric Guilbert,DF,Aston Villa
98.0,Mahmoud Ahmed Ibrahim Hassan,FW,Aston Villa
90.0,Douglas Luiz Soares de Paulo,MF,Aston Villa
0.0,Lovre Kalinic,GK,Aston Villa
43.0,Marvelous Nakamba,MF,Aston Villa
41.0,José Reina,FW,Aston Villa
29.0,Mbwana Samatta,FW,Aston Villa
2.0,Borja González Tomás,DF,Aston Villa
89.125,Nathan Aké,DF,Brentford
27.0,Chris Mepham,DF,Brentford
62.0,Adam Smith,MF,Brentford
4.75,Jack Simpson,DF,Brentford
120.625,Callum Wilson,FW,Brentford
120.75,Joshua King,MF,Brentford
43.0,Dominic Solanke,DF,Brentford
106.375,Ryan Fraser,FW,Brentford
72.0,David Brooks,GK,Brentford
57.75,Junior Stanislas,DF,Brentford
34.875,Lewis Cook,FW,Brentford
70.0,Jefferson Lerma,DF,Brentford
39.0,Jack Stacey,DF,Brentford
126.0,Aaron Ramsdale,GK,Brentford
91.0,Harry Wilson,MF,Brentford
0.0,Christian Saydee,DF,Brentford
30.0,Bernardo Fernandes da Silva Junior,DF,Brighton & Hove Albion
111.0,Lewis Dunk,DF,Brighton & Hove Albion
78.0,Glenn Murray,FW,Brighton & Hove Albion
21.5,Florin Andone,FW,Brighton & Hove Albion
130.0,Mathew Ryan,GK,Brighton & Hove Albion
7.5,David Button,GK,Brighton & Hove Albion
99.0,Pascal Groß,MF,Brighton & Hove Albion
30.5,Alireza Jahanbakhsh,FW,Brighton & Hove Albion
33.0,José Heriberto Izquierdo Mena,MF,Brighton & Hove Albion
40.5,Anthony Knockaert,MF,Brighton & Hove Albion
41.0,Yves Bissouma,MF,Brighton & Hove Albion
78.75,Davy Pröpper,MF,Brighton & Hove Albion
61.0,Solomon March,MF,Brighton & Hove Albion
15.25,Beram Kayal,MF,Brighton & Hove Albion
69.5,Dale Stephens,MF,Brighton & Hove Albion
104.0,Leandro Trossard,FW,Brighton & Hove Albion
43.0,Dan Burn,DF,Brighton & Hove Albion
88.0,Adam Webster,DF,Brighton & Hove Albion
131.0,Neal Maupay,FW,Brighton & Hove Albion
87.25,Aaron Mooy,DF,Brighton & Hove Albion
61.0,Aaron Connolly,FW,Brighton & Hove Albion
0.0,Tudor Baluta,MF,Brighton & Hove Albion
33.0,Steven Alzate,MF,Brighton & Hove Albion
26.0,Tariq Lamptey,DF,Brighton & Hove Albion
12.0,Alexis Mac Allister,MF,Brighton & Hove Albion
