Total Points,Name,Position,Club,Cost
120.75,Joshua King,MF,Brentford,56
147.625,César Azpilicueta,DF,Chelsea,56
139.0,Lucas Digne,DF,Everton,50
137.0,Kasper Schmeichel,GK,Leicester City,48
131.0,James Maddison,MF,Leicester City,70
130.75,Ayoze Pérez,MF,Leicester City,57
166.75,Andrew Robertson,DF,Liverpool,73
160.125,Virgil van Dijk,DF,Liverpool,68
257.0,Mohamed Salah,FW,Liverpool,132
207.75,Raheem Sterling,FW,Manchester City,105
160.0,Dean Henderson,GK,Sheffield United,47
132.0,Bamidele Alli,MF,Tottenham Hotspur,62
155.5,Matt Doherty,DF,Wolverhampton Wanderers,49
187.5,Raúl Jiménez,FW,Wolverhampton Wanderers,75
116.0,João Filipe Iria Santos Moutinho,MF,Wolverhampton Wanderers,49
