index,Name,GW,Position,Club,Total Points,Cost
0,Aaron Connolly,1.0,FWD,Brighton,1.67,55.0
1,Aaron Connolly,2.0,FWD,Brighton,2.3,55.0
2,Aaron Connolly,3.0,FWD,Brighton,2.27,55.0
3,Aaron Connolly,4.0,FWD,Brighton,2.24,55.0
4,Aaron Connolly,5.0,FWD,Brighton,2.42,55.0
5,Aaron Connolly,6.0,FWD,Brighton,2.18,55.0
6,Aaron Connolly,7.0,FWD,Brighton,1.96,55.0
7,Aaron Connolly,8.0,FWD,Brighton,1.86,54.0
8,Aaron Connolly,9.0,FWD,Brighton,1.68,54.0
9,Aaron Connolly,10.0,FWD,Brighton,1.71,53.0
10,Aaron Connolly,11.0,FWD,Brighton,1.74,53.0
11,Aaron Connolly,12.0,FWD,Brighton,1.67,53.0
12,Aaron Connolly,13.0,FWD,Brighton,1.5,53.0
13,Aaron Connolly,14.0,FWD,Brighton,1.55,53.0
14,Aaron Connolly,15.0,FWD,Brighton,1.39,53.0
15,Aaron Connolly,16.0,FWD,Brighton,1.25,53.0
16,Aaron Connolly,17.0,FWD,Brighton,1.63,52.0
17,Aaron Connolly,18.0,FWD,Brighton,1.47,52.0
18,Aaron Connolly,19.0,FWD,Brighton,1.32,52.0
19,Aaron Connolly,20.0,FWD,Brighton,1.19,52.0
20,Aaron Connolly,21.0,FWD,Brighton,1.17,52.0
21,Aaron Connolly,22.0,FWD,Brighton,1.15,52.0
22,Aaron Connolly,23.0,FWD,Brighton,1.24,52.0
23,Aaron Connolly,24.0,FWD,Brighton,1.11,52.0
24,Aaron Connolly,25.0,FWD,Brighton,1.0,52.0
25,Aaron Connolly,26.0,FWD,Brighton,1.1,52.0
26,Aaron Connolly,27.0,FWD,Brighton,0.99,52.0
27,Aaron Connolly,28.0,FWD,Brighton,0.89,52.0
28,Aaron Connolly,29.0,FWD,Brighton,0.8,52.0
29,Aaron Connolly,30.0,FWD,Brighton,0.72,52.0
30,Aaron Connolly,31.0,FWD,Brighton,0.65,52.0
31,Aaron Connolly,32.0,FWD,Brighton,0.59,52.0
32,Aaron Connolly,33.0,FWD,Brighton,0.63,52.0
33,Aaron Connolly,34.0,FWD,Brighton,0.56,52.0
34,Aaron Connolly,35.0,FWD,Brighton,0.51,52.0
35,Aaron Connolly,36.0,FWD,Brighton,0.46,52.0
36,Aaron Connolly,37.0,FWD,Brighton,0.41,52.0
37,Aaron Connolly,38.0,FWD,Brighton,0.47,52.0
38,Aaron Cresswell,1.0,DEF,West Ham,1.82,50.0
39,Aaron Cresswell,2.0,DEF,West Ham,1.74,50.0
40,Aaron Cresswell,3.0,DEF,West Ham,2.27,49.0
41,Aaron Cresswell,4.0,DEF,West Ham,3.54,49.0
42,Aaron Cresswell,5.0,DEF,West Ham,3.69,49.0
43,Aaron Cresswell,6.0,DEF,West Ham,3.52,50.0
44,Aaron Cresswell,7.0,DEF,West Ham,3.27,50.0
45,Aaron Cresswell,8.0,DEF,West Ham,3.54,51.0
46,Aaron Cresswell,9.0,DEF,West Ham,3.89,51.0
47,Aaron Cresswell,10.0,DEF,West Ham,3.7,52.0
48,Aaron Cresswell,11.0,DEF,West Ham,3.43,52.0
49,Aaron Cresswell,12.0,DEF,West Ham,3.58,52.0
50,Aaron Cresswell,13.0,DEF,West Ham,3.43,52.0
51,Aaron Cresswell,14.0,DEF,West Ham,3.18,52.0
52,Aaron Cresswell,15.0,DEF,West Ham,3.26,53.0
53,Aaron Cresswell,16.0,DEF,West Ham,3.54,53.0
54,Aaron Cresswell,17.0,DEF,West Ham,4.28,53.0
55,Aaron Cresswell,18.0,DEF,West Ham,3.86,50.0
56,Aaron Cresswell,19.0,DEF,West Ham,3.97,54.0
57,Aaron Cresswell,20.0,DEF,West Ham,4.07,54.0
58,Aaron Cresswell,21.0,DEF,West Ham,4.07,55.0
59,Aaron Cresswell,22.0,DEF,West Ham,3.76,56.0
60,Aaron Cresswell,23.0,DEF,West Ham,4.28,57.0
61,Aaron Cresswell,24.0,DEF,West Ham,5.06,58.0
62,Aaron Cresswell,25.0,DEF,West Ham,4.75,58.0
63,Aaron Cresswell,26.0,DEF,West Ham,4.37,58.0
64,Aaron Cresswell,27.0,DEF,West Ham,5.14,58.0
65,Aaron Cresswell,28.0,DEF,West Ham,4.82,58.0
66,Aaron Cresswell,29.0,DEF,West Ham,4.34,59.0
67,Aaron Cresswell,30.0,DEF,West Ham,4.01,59.0
68,Aaron Cresswell,31.0,DEF,West Ham,3.61,59.0
69,Aaron Cresswell,32.0,DEF,West Ham,3.25,58.0
70,Aaron Cresswell,33.0,DEF,West Ham,2.92,57.0
71,Aaron Cresswell,34.0,DEF,West Ham,2.83,56.0
72,Aaron Cresswell,35.0,DEF,West Ham,2.65,56.0
73,Aaron Cresswell,36.0,DEF,West Ham,2.68,56.0
74,Aaron Cresswell,37.0,DEF,West Ham,2.91,56.0
75,Aaron Cresswell,38.0,DEF,West Ham,3.22,57.0
76,Aaron Mooy,1.0,MID,Brighton,2.12,50.0
77,Aaron Mooy,2.0,MID,Brighton,1.91,50.0
78,Aaron Mooy,3.0,MID,Brighton,1.72,50.0
79,Aaron Mooy,4.0,MID,Brighton,1.55,50.0
80,Aaron Mooy,5.0,MID,Brighton,1.39,50.0
81,Aaron Mooy,6.0,MID,Brighton,1.25,50.0
82,Aaron Mooy,7.0,MID,Brighton,1.13,50.0
83,Aaron Mooy,8.0,MID,Brighton,1.02,50.0
84,Aaron Mooy,9.0,MID,Brighton,0.91,50.0
85,Aaron Mooy,10.0,MID,Brighton,0.82,50.0
86,Aaron Mooy,11.0,MID,Brighton,0.74,50.0
87,Aaron Mooy,12.0,MID,Brighton,0.67,50.0
88,Aaron Mooy,13.0,MID,Brighton,0.6,50.0
89,Aaron Mooy,14.0,MID,Brighton,0.54,50.0
90,Aaron Mooy,15.0,MID,Brighton,0.49,50.0
91,Aaron Mooy,16.0,MID,Brighton,0.44,50.0
92,Aaron Mooy,17.0,MID,Brighton,0.39,50.0
93,Aaron Mooy,18.0,MID,Brighton,0.35,50.0
94,Aaron Mooy,19.0,MID,Brighton,0.32,50.0
95,Aaron Mooy,20.0,MID,Brighton,0.29,50.0
96,Aaron Mooy,21.0,MID,Brighton,0.26,50.0
97,Aaron Mooy,22.0,MID,Brighton,0.23,50.0
98,Aaron Mooy,23.0,MID,Brighton,0.21,50.0
99,Aaron Mooy,24.0,MID,Brighton,0.19,50.0
100,Aaron Mooy,25.0,MID,Brighton,0.17,50.0
101,Aaron Mooy,26.0,MID,Brighton,0.15,50.0
102,Aaron Mooy,27.0,MID,Brighton,0.14,50.0
103,Aaron Mooy,28.0,MID,Brighton,0.12,50.0
104,Aaron Mooy,29.0,MID,Brighton,0.11,50.0
105,Aaron Mooy,30.0,MID,Brighton,0.1,50.0
106,Aaron Mooy,31.0,MID,Brighton,0.09,50.0
107,Aaron Mooy,32.0,MID,Brighton,0.08,50.0
108,Aaron Mooy,33.0,MID,Brighton,0.07,50.0
109,Aaron Mooy,34.0,MID,Brighton,0.07,50.0
110,Aaron Mooy,35.0,MID,Brighton,0.06,50.0
111,Aaron Mooy,36.0,MID,Brighton,0.05,50.0
112,Aaron Mooy,37.0,MID,Brighton,0.05,50.0
113,Aaron Mooy,38.0,MID,Brighton,0.04,50.0
114,Aaron Ramsdale,1.0,GK,Sheffield Utd,1.68,50.0
115,Aaron Ramsdale,2.0,GK,Sheffield Utd,1.71,50.0
116,Aaron Ramsdale,3.0,GK,Sheffield Utd,1.94,50.0
117,Aaron Ramsdale,4.0,GK,Sheffield Utd,1.94,50.0
118,Aaron Ramsdale,5.0,GK,Sheffield Utd,2.05,50.0
119,Aaron Ramsdale,6.0,GK,Sheffield Utd,2.04,49.0
120,Aaron Ramsdale,7.0,GK,Sheffield Utd,2.24,49.0
121,Aaron Ramsdale,8.0,GK,Sheffield Utd,2.22,49.0
122,Aaron Ramsdale,9.0,GK,Sheffield Utd,2.19,48.0
123,Aaron Ramsdale,10.0,GK,Sheffield Utd,2.27,48.0
124,Aaron Ramsdale,11.0,GK,Sheffield Utd,2.15,48.0
125,Aaron Ramsdale,12.0,GK,Sheffield Utd,2.13,48.0
126,Aaron Ramsdale,13.0,GK,Sheffield Utd,2.12,47.0
127,Aaron Ramsdale,14.0,GK,Sheffield Utd,2.11,47.0
